"Original Line","Latitude","Longitude","StandardCivicNumber","StandardAddress","StandardCity","StandardStateorProvinceAbbrv","PostalZip","Confidence"
"Fire Tower Rd., Yellow River State Forest,Harpers Ferry,IOWA","37.36240","-79.30201","","","Forest","US","","0.3"
"24490 100th St.,Spirit Lake,IOWA","43.50096","-95.17423","24490","100th St","Spirit Lake","US","51360","0.90"
"7600 Chavenelle Dr.,Dubuque,IOWA","42.48666","-90.76398","7600","Chavenelle Dr","Dubuque","US","52002","0.90"
"105 E. 15th, 1584 White, 1501 & 1561 Jackson Sts.,Dubuque,IOWA","42.50816","-90.66670","1561","JACKSON ST","Dubuque","US","52001","0.8"
"2260 Hickory Ave.,Mount Pleasant,IOWA","40.97835","-91.58184","2260","Hickory Ave","Mount Pleasant","US","52641","1.00"
"942 Iowa Ave.,Iowa City,IOWA","41.66122","-91.52192","942","IOWA AVE","Iowa City","US","52240-5314","0.90"
"125 S. Ford St.,Anamosa,IOWA","42.10505","-91.28166","","Ford","Anamosa","US","","0.5"
"Ely St. over Big Cr.,Bertram,IOWA","41.64082","-91.49083","1753","DOVER ST","IOWA","US","52240","0.8"
"1246 2nd Ave. SE.,Cedar Rapids,IOWA","41.97437","-91.67582","314","2nd Ave","Cedar Rapids","US","52404","0.90"
"1515 W. Pleasant St.,Knoxville,IOWA","41.6665","-91.51718","1515","Pleasant","Knoxville","US","52245","0.90"
"Address Restricted,Glenwood,IOWA","41.0334","-95.76128","58800","Iowa Rd","Glenwood","US","51534","0.6"
"Address Restricted,Glenwood,IOWA","41.0334","-95.76128","58800","Iowa Rd","Glenwood","US","51534","0.6"
"Address Restricted,Westfield,IOWA","40.03398","-86.14659","","","Westfield","US","","0.233333333333333"
"604 Locust St. & 316 6th Ave.,Des Moines,IOWA","41.58664","-93.62524","604","LOCUST ST","Des Moines","US","50309","1.0"
"601 Grand Ave.,Des Moines,IOWA","41.58794","-93.62576","601","GRAND AVE","Des Moines","US","50309","0.90"
"524 4th St.,Des Moines,IOWA","41.58862","-93.62271","524","4TH ST","Des Moines","US","50309-2364","0.90"
"2501 Eastern Ave.,Davenport,IOWA","41.54525","-90.55147","2501","EASTERN AVE","Davenport","US","52803-2009","0.90"
"3400 Sioux River Rd.,Sioux City,IOWA","42.52968","-96.47503","3400","SIOUX RIVER RD","Sioux City","US","51109-1635","1.00"
