GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,County_Label,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,Total,White,AON5E003,AON5E004,AON5E005,AON5E006,AON5E007,AON5E008,BIPOC,BIPOC_PER,NAME_M,AON5M001,AON5M002,AON5M003,AON5M004,AON5M005,AON5M006,AON5M007,AON5M008,AON5M009,AON5M010
G2700010770100,2017-2021,MN,,,Minnesota,27,Aitkin County,Aitkin,1,,,770100,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001770100,,,27001770100,"Census Tract 7701, Aitkin County, Minnesota",2405,2195,7,33,5,0,82,83,210,9%,"Census Tract 7701, Aitkin County, Minnesota",148,141,4,20,5,9,40,37,9,35
G2700010770200,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,770200,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001770200,,,27001770200,"Census Tract 7702, Aitkin County, Minnesota",2244,2058,2,70,0,1,2,111,186,8%,"Census Tract 7702, Aitkin County, Minnesota",179,170,5,45,9,2,3,44,8,44
G2700010770300,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,770300,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001770300,,,27001770300,"Census Tract 7703, Aitkin County, Minnesota",3294,3150,15,29,0,0,17,83,144,4%,"Census Tract 7703, Aitkin County, Minnesota",238,238,16,27,9,9,20,33,18,31
G2700010770401,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,770401,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001770401,,,27001770401,"Census Tract 7704.01, Aitkin County, Minnesota",1378,1324,5,29,0,0,1,19,54,4%,"Census Tract 7704.01, Aitkin County, Minnesota",164,163,6,24,9,9,3,16,5,15
G2700010770402,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,770402,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001770402,,,27001770402,"Census Tract 7704.02, Aitkin County, Minnesota",1737,1474,14,140,11,0,7,91,263,15%,"Census Tract 7704.02, Aitkin County, Minnesota",163,144,10,50,13,9,7,45,11,43
G2700010790501,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,790501,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001790501,,,27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",1796,1719,6,12,7,0,0,52,77,4%,"Census Tract 7905.01, Aitkin County, Minnesota",153,148,7,13,5,9,9,24,5,23
G2700010790503,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,790503,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001790503,,,27001790503,"Census Tract 7905.03, Aitkin County, Minnesota",1472,1406,1,0,0,3,0,62,66,4%,"Census Tract 7905.03, Aitkin County, Minnesota",135,132,2,9,9,5,9,35,35,3
G2700010790504,2017-2021,MN,,,Minnesota,27,Aitkin County,,1,,,790504,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27001790504,,,27001790504,"Census Tract 7905.04, Aitkin County, Minnesota",1421,1402,3,2,0,0,8,6,19,1%,"Census Tract 7905.04, Aitkin County, Minnesota",130,130,5,4,9,9,9,7,9,7
G2700030050107,2017-2021,MN,,,Minnesota,27,Anoka County,Anoka,3,,,50107,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050107,,,27003050107,"Census Tract 501.07, Anoka County, Minnesota",2797,2654,0,0,19,0,0,124,143,5%,"Census Tract 501.07, Anoka County, Minnesota",215,244,9,9,24,9,9,82,9,82
G2700030050108,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50108,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050108,,,27003050108,"Census Tract 501.08, Anoka County, Minnesota",5755,5244,131,3,34,0,4,339,511,9%,"Census Tract 501.08, Anoka County, Minnesota",235,335,128,5,30,13,6,194,3,193
G2700030050109,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50109,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050109,,,27003050109,"Census Tract 501.09, Anoka County, Minnesota",5653,5314,16,29,35,0,141,118,339,6%,"Census Tract 501.09, Anoka County, Minnesota",485,505,23,31,44,13,179,92,78,49
G2700030050110,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50110,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050110,,,27003050110,"Census Tract 501.10, Anoka County, Minnesota",2621,2453,13,20,98,0,0,37,168,6%,"Census Tract 501.10, Anoka County, Minnesota",393,410,14,22,111,9,9,41,32,25
G2700030050111,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50111,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050111,,,27003050111,"Census Tract 501.11, Anoka County, Minnesota",3544,3424,35,0,27,0,21,37,120,3%,"Census Tract 501.11, Anoka County, Minnesota",415,420,53,9,32,9,30,33,9,33
G2700030050114,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50114,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050114,,,27003050114,"Census Tract 501.14, Anoka County, Minnesota",3099,3039,1,0,26,0,0,33,60,2%,"Census Tract 501.14, Anoka County, Minnesota",328,336,2,9,31,9,9,30,17,25
G2700030050115,2017-2021,MN,,,Minnesota,27,Anoka County,,3,,,50115,,,,,,,,,,,,,,,,,,,,,,,,,,1400000US27003050115,,,27003050115,"Census Tract 501.15, Anoka County, Minnesota",5771,5022,120,2,318,0,77,232,749,13%,"Census Tract 501.15, Anoka County, Minnesota",324,513,171,4,310,13,81,169,13,169
