Reference Number,Property Name,Status,Request Type,Restricted Address,Category of Property,State,County,City ,Street & Number,External Link,Federal Agencies,Level of Significance - International,Level of Significance - Local,Level of Significance - National,Level of Significance - Not Indicated,Level of Significance - State,Listed Date,Name of Multiple Property Listing,NHL Designated Date,Other Names,Park Name
97000651,Lassiter House,Listed,Single,FALSE,BUILDING,ALABAMA,Autauga,Autaugaville,Antauga County 15. 0.5 mi. N of jct. of AL 14 and Co. Rd 15,https://catalog.archives.gov/id/77835698,,FALSE,TRUE,FALSE,FALSE,FALSE,7/17/1997,,, Treadwell House,
1001296,Mount Sinai School,Listed,Multiple,FALSE,BUILDING,ALABAMA,Autauga,Prattville,1820 Cty. Rd. 57,https://catalog.archives.gov/id/77834765,,FALSE,TRUE,FALSE,FALSE,FALSE,11/29/2001, The Rosenwald School Building Fund and Associated Buildings MPS,,,
74000396,Montgomery-Janes-Whittaker House,Listed,Single,FALSE,BUILDING,ALABAMA,Autauga,Prattville,S of Prattville off AL 14,https://catalog.archives.gov/id/77835696,,FALSE,TRUE,FALSE,FALSE,FALSE,10/25/1974,,, Buena Vista,
84000596,Daniel Pratt Historic District,Listed,Single,FALSE,DISTRICT,ALABAMA,Autauga,Prattville,"Roughly bounded by Northington Rd., 1st, 6th, Bridge, and Court Sts.",https://catalog.archives.gov/id/77835702,,FALSE,FALSE,FALSE,FALSE,TRUE,8/30/1984,,,,
99000150,Bell House,Listed,Single,FALSE,BUILDING,ALABAMA,Autauga,Prattville,550 Upper Kingston Rd.,https://catalog.archives.gov/id/77835700,,FALSE,TRUE,FALSE,FALSE,FALSE,2/12/1999,,, Biggs House,
88000107,Battles Wharf Historic District,Listed,Single,FALSE,DISTRICT,ALABAMA,Baldwin,Battles Wharf,"US 98, Eastern Shore Blvd. roughly between Woolworth Ave. and Buerger La.",https://catalog.archives.gov/id/77835727,,FALSE,TRUE,FALSE,FALSE,FALSE,4/28/1988,,,,
88001349,First Baptist Church,Listed,Multiple,FALSE,BUILDING,ALABAMA,Baldwin,Bay Minette,N side D'Olive St.,https://catalog.archives.gov/id/77834813,,FALSE,TRUE,FALSE,FALSE,FALSE,8/25/1988, Rural Churches of Baldwin County TR,,,
95000556,Killcreas House,Listed,Single,FALSE,BUILDING,ALABAMA,Baldwin,Bay Minette,46833 AL 225,https://catalog.archives.gov/id/77835715,,FALSE,TRUE,FALSE,FALSE,FALSE,5/4/1995,,,,
16000814,Swift-Coles House,Listed,Single,FALSE,building,ALABAMA,Baldwin,Bon Secour,1 Swift Coles Ln.,,,FALSE,TRUE,FALSE,FALSE,FALSE,12/6/2016,,, Swift House; The Big House,
88002809,Allen House,Listed,Multiple,FALSE,BUILDING,ALABAMA,Baldwin,Bon Secour,Off CR 10 on N bank of Bon Secour River,https://catalog.archives.gov/id/77834771,,FALSE,TRUE,FALSE,FALSE,FALSE,12/20/1988, Creole and Gulf Coast Cottages in Baldwin County TR,, Marshall House,
